id,imagenum,year,keywords,_inventar_nr,_titel,_personen,_funktion,_durchmesser,_abmessungen,_gewicht,_material,_literatur,_ortdatierung,_beschreibung,_schlagworte
47510,2,1790,"Preußen,Friedrich Wilhelm II.,König von Preußen,Münze",X 2566,"Taler, Königreich Preußen, Friedrich Wilhelm II. (1786-1797), 1795","Loos, Daniel; Stempelschneider, ?
 ",,"3,77 cm",,"22,2 g",Silber,"Weyl, Adolph: Die Paul Henckel'sche Sammlung Brandenburg-Preussischer Münzen und Medaillen, Teil 1, Mark Brandenburg, Berlin 1876, Vgl.: S. 194, lfd. Nr. 1963. 
 Nachtrag zur Paul Henckel'schen Sammlung Brandenburg-Preussischer Münzen und Medaillen, bearb. v. Adolph Weyl, Berlin 1877, S. 3; S. 22; S. 30. 
 Schön, Gerhard: Deutscher Münzkatalog. 18. Jahrhundert, 3. Aufl., München 2002, S. 148, lfd. Nr. 161","Berlin, 1795","Vs: Umschrift unter Strichrand: FRIED: WILHELM KOENIG VON PREUSSEN 
Brustbild des Königs in Uniform mit im Nacken gebundenem Haar nach rechts, mit Ordensband, an dem das Kleinod hängt 

Rs: Gekrönter Adlerschild mit zwei wilden Männern als Schildhalter; im Abschnitt : EIN THALER / 17 = A = 95 
Kettenrand","Preußen
Friedrich Wilhelm II., König von Preußen
Münze
"
47644,2,1540,"Preußen (Herzogtum),Albrecht,Herzog von Preußen,Münze",X 2427,"Groschen, Herzogtum Preußen, Herzog Albrecht von Brandenburg (1525-1569), 1540",,,"2,37 cm",,"2,1 g",Silber,"Saurma-Jeltsch, Hugo von: Die Saurmasche Münzsammlung deutscher, schweizerischer und polnischer Gepräge. Von etwa dem Beginn der Groschenzeit bis zur Kipperperiode, Berlin 1892, Nachdruck Berlin 1986 (Transpress-Reprint), S. 127, lfd. Nr. 5074. 
 Weyl, Adolph: Die Paul Henckel'sche Sammlung Brandenburg-Preussischer Münzen und Medaillen, Teil 2, Die Provinzen Preussen, Pommern, Posen und Schlesien, Berlin 1876, S. 7, lfd. Nr. 3138",1540,"Vs: Umschrift zwischen zwei Perlkreisen: IVSTVS * EX * FIDE * VIVIT * 1540 * [Zollernschild] * 
Im Perlkreis Brustbild des Herzogs im Harnisch nach rechts 

Rs: Umschrift zwischen zwei Perlkreisen: ALBER * D * G * MAR * BRAN * DVX * PRVSS * 
Im inneren Perlkreis preußischer Adler; vor der Brust, auf einem gekrönten Wappenschild, ein S","Preußen (Herzogtum)
Albrecht, Herzog von Preußen
Münze
"
47814,2,1780,"Preußen,Friedrich II.,König von Preußen,Münze",X 2546,"Reichstaler, Königreich Preußen, Friedrich II. (1740-1786), 1781",,,"3,81 cm",,"22,3 g",Silber,"Das Preußische Münzwesen im 18. Jahrhundert, Bd. 1, H. 2, Die Münzen aus der Zeit des Königs Friedrich II. des Großen, bearb. v. Friedrich Freiherr von Schrötter, Berlin 1904 (Acta Borussica. Denkmäler der Preußischen Staatsverwaltung im 18. Jahrhundert)., S. 40, Nr. 467. 
 Schön, Gerhard: Deutscher Münzkatalog. 18. Jahrhundert, 3. Aufl., München 2002, S. 147, lfd. Nr. 151","Berlin, 1781","Vs: Umschrift unter Strichrand: FRIDERICUS BORUSSORUM REX 
Kopf des greisen Königs mit Lorbeerkranz nach rechts 
RS: Umschrift unter Strichrand: EIN REICHS THALER 
Bekrönter Adler auf Trophäen; im Abschnitt 17 A 81 
Laubrand","Preußen
Friedrich II., König von Preußen
Münze
"
47920,2,1790,"Preußen,Friedrich Wilhelm II.,König von Preußen,Münze",X 2567,"Taler, Königreich Preußen, Friedrich Wilhelm II. (1786-1797), 1796","Loos, Daniel; Stempelschneider, ?
 ",,"3,72 cm",,"22,1 g",Silber,"Schön, Gerhard: Deutscher Münzkatalog. 18. Jahrhundert, 3. Aufl., München 2002, S. 148, lfd. Nr. 161","Berlin,1796","Vs: Umschrift unter Strichrand: FRIED: WILHELM KOENIG VON PREUSSEN 
Brustbild des Königs in Uniform mit im Nacken gebundenem Haar nach rechts, mit Ordensband, an dem das Kleinod hängt 

Rs: Gekrönter Adlerschild mit zwei wilden Männern als Schildhalter; im Abschnitt : EIN THALER / 17 = A = 96 
Kettenrand","Preußen
Friedrich Wilhelm II., König von Preußen
Münze
"
48186,2,1740,"Preußen,Friedrich Wilhelm I.,König in Preußen,Münze",X 2498,"Wilhelm d'or, 10 Taler, Königreich Preußen, Friedrich Wilhelm I. (1713-1740), 1740","Neubauer, Ernst Georg; Münzmeister
 ","Medailleur, Münzmeister","3,09 cm",,"13,5 g",Gold,"Das Preußische Münzwesen im 18. Jahrhundert, Bd. 1, H. 1, Die Münzen aus der Zeit der Könige Friedrich I. und Friedrich Wilhelm I., bearb. v. Friedrich Freiherr von Schrötter, Berlin 1902, Nachdruck Bielefeld 1978 (Acta Borussica. Denkmäler der Preußischen Staatsverwaltung im 18. Jahrhundert)., S. 73, lfd. Nr. 187. 
 Schön, Gerhard: Deutscher Münzkatalog. 18. Jahrhundert, 3. Aufl., München 2002, S. 139, lfd. Nr. 86. 
 Weyl, Adolph: Die Paul Henckel'sche Sammlung Brandenburg-Preussischer Münzen und Medaillen, Teil 1, Mark Brandenburg, Berlin 1876, S. 144, lfd. Nr. 1415. 
 Nachtrag zur Paul Henckel'schen Sammlung Brandenburg-Preussischer Münzen und Medaillen, bearb. v. Adolph Weyl, Berlin 1877, S. 3; S. 25. 
 Steguweit, Wolfgang / Kluge, Bernd: Suum cuique. Medailllenkunst und Münzprägung in Brandenburg-Preußen, Berlin 2008, Vgl. S. 254, lfd. Nr. 154","Berlin, 1740","Vs: Umschrift unter Strichrandstab: FRID . WILH . D . G . REX BOR . EL . BRA . 
Geharnischtes Brustbild des Königs nach rechts, mit Band und Hermelinmantel über der linken Schulter 

Rs: Umschrift unter Strichrand: PRO = DEO ET = MILI = TE 
Runder Schild mit gekröntem Adler, der Zepter und Schwert hält, umgeben von vier gekrönten FW Spiegelmonogrammen. 
Unten, Mitte: E G N = 1740 
Riffelrand","Preußen
Friedrich Wilhelm I., König in Preußen
Münze
"
48207,2,1870,"Kaiserreich,Preußen,Wilhelm I.,Deutscher Kaiser,Münze",X 2646,"20 Mark (Doppelkrone), Deutsches Reich, Königreich Preußen, Wilhelm I. (1861-1888), 1872","Kullrich, Wilhelm; Stempelschneider
 ",,"2,26 cm",,"7,9 g",Gold; Kupfer,"Jaeger, Kurt: Die deutschen Münzen seit 1871. mit Prägezahlen und Bewertungen, 19. Aufl., Regenstauf 2005, S. 239, lfd. Nr. 243 . 
 Arnold, Paul / Küthmann, Harald / Steinhilber, Dirk: Grosser deutscher Münzkatalog von 1800 bis heute, Augsburg 1997, S. 237, lfd. Nr. 109","Berlin, 1872","Vs: Umschrift unter Stabrand und Perlkreis: WILHELM DEUTSCHER KAISER KÖNIG V. PREUSSEN 
Kopf des Kaisers nach rechts; darunter Münzzeichen: A 

Rs: Umschrift unter Stabrand und Perlkreis: DEUTSCHES = REICH, Eichenzweig 
Gekrönter Reichsadler mit großem Brustschild, der von der Kette des Schwarzen Adlerordens mit Kleinod umgeben ist; auf dem Schild gekrönter Adler mit Zepter und Reichsapfel in den Fängen; unterhalb der Fänge des Reichsadlers: 20 = M.; unten: 18 = 72 
Randschrift: GOTT [Ranke] [Kreuz] [Ranke] MIT [Ranke] [Kreuz] [Ranke] UNS [Ranke] [Kreuz] [Ranke]","Kaiserreich
Preußen
Wilhelm I., Deutscher Kaiser
Münze
"
48267,2,1880,"Preußen,Wilhelm I.,Deutscher Kaiser,Kaiserreich,Münze",X 2650,"10 Mark (Krone), Deutsches Reich, Königreich Preußen, Wilhelm I. (1861-1888), 1888","Kullrich, Wilhelm; Stempelschneider, Rückseite
Weigand, Emil; Stempelschneider, Vorderseite
 ",,"1,95 cm",,4 g,Silber; Kupfer,"Arnold, Paul / Küthmann, Harald / Steinhilber, Dirk: Grosser deutscher Münzkatalog von 1800 bis heute, Augsburg 1997, S. 237f., lfd. Nr. 112. 
 Jaeger, Kurt: Die deutschen Münzen seit 1871. mit Prägezahlen und Bewertungen, 19. Aufl., Regenstauf 2005, S. 240, lfd. Nr. 245","Berlin, 1888","Vs: Umschrift unter Stabrand und Perlkreis: WILHELM DEUTSCHER KAISER KÖNIG V. PREUSSEN 
Kopf des Kaisers nach rechts; darunter Münzzeichen: A 

Rs: Umschrift unter Stabrand und Perlkreis: DEUTSCHES = REICH 1888, unten: * 10 MARK * 
Gekrönter Reichsadler mit großem Brustschild, der von der Kette des Schwarzen Adlerordens mit Kleinod umgeben ist; auf dem Schild gekrönter Adler mit Zepter und Reichsapfel in den Fängen, vor der Brust Zollernschild 
Rand: Ranke Kreuz Ranke","Preußen
Wilhelm I., Deutscher Kaiser
Kaiserreich
Münze
"
48289,2,1750,"Preußen,Friedrich II.,König von Preußen,Münze",X 2547,"Reichstaler, Königreich Preußen, Friedrich II. (1740-1786), 1750","Barbiez, Ludwig Heinrich; Stempelschneider
 ",Stempelschneider,"3,8 cm",,22 g,Silber,"Das Preußische Münzwesen im 18. Jahrhundert, Bd. 1, H. 2, Die Münzen aus der Zeit des Königs Friedrich II. des Großen, bearb. v. Friedrich Freiherr von Schrötter, Berlin 1904 (Acta Borussica. Denkmäler der Preußischen Staatsverwaltung im 18. Jahrhundert)., S. 19, Nr. 167. 
 Weyl, Adolph: Die Paul Henckel'sche Sammlung Brandenburg-Preussischer Münzen und Medaillen, Teil 1, Mark Brandenburg, Berlin 1876, S. 155, lfd. Nr. 1533. 
 Nachtrag zur Paul Henckel'schen Sammlung Brandenburg-Preussischer Münzen und Medaillen, bearb. v. Adolph Weyl, Berlin 1877, S. 3; S. 22; S. 30. 
 Schön, Gerhard: Deutscher Münzkatalog. 18. Jahrhundert, 3. Aufl., München 2002, S. 142, lfd. Nr. 112","Berlin, 1750","Vs: Umschrift unter Strichrand: FRIDERICVS BORVSSORVM REX 
Brustbild des Königs mit im Nacken gebundenem Haar nach rechts; im Harnisch, mit Ordensband, an dem das Kleinod hängt und Hermelinmantel 
RS: Umschrift unter Strichrand: EIN REICHS THALER 
Gekrönter Adler auf Trophäen, im Abschnitt 17 = A = 50 
Laubrand","Preußen
Friedrich II., König von Preußen
Münze
"
48314,2,1840,"Italien,Viktor Emanuel II.,König von Italien,Sardinien,Hochzeit,Medaille",X 2730,"Medaille auf die Vermählung von Kronprinz Victor Emanuel von Sardinien mit Erzherzogin Adelheid von Österreich am 12.04.1842, Königreich Sardinien, König Karl Albert I. (1831-1849), 1842","Galeazzi, Gaspare; Medailleur
 ","Medailleur, Bildhauer","4,4 cm",,"55,9 g",Silber,,"Turin?, 1842","Vs: Gestaffelte Portraitbüsten vom Kronprinzen und seiner Gemahlin nach rechts; unten Münzzeichen Medailleur: G · GALEAZZI F · 

Rs: Aufschrift: VICTORI · EMMANVELIS / SABAVDI / MARIAE · ADEL · AVSTRIACAE / NVPTIAE / AVSPICATISSIMAE / MDCCCXLII","Italien
Viktor Emanuel II., König von Italien
Sardinien
Hochzeit
Medaille
"
48412,2,1710,"Preußen,Friedrich Wilhelm I.,König in Preußen,Münze",X 2528,"Vierteldukat, Königreich Preußen, Friedrich Wilhelm I. (1713-1740), Provinz Sachsen, 1714","Halter, Heinrich Friedrich; Münzmeister
 ","Münzmeister, Medailleur","1,36 cm",,"0,09 g",Gold,"Weyl, Adolph: Die Paul Henckel'sche Sammlung Brandenburg-Preussischer Münzen und Medaillen, Teil 3, Die Provinzen Sachsen, Rheinprovinz (mit Hohenzollern), Westfalen, Hannover, Schleswig-Holstein, sowie Ansbach-Bayreuth, Neuenburg, Berlin 1876, S. 18, lfd. Nr. 4572. 
 Nachtrag zur Paul Henckel'schen Sammlung Brandenburg-Preussischer Münzen und Medaillen, bearb. v. Adolph Weyl, Berlin 1877, S. 16; S. 27. 
 Schön, Gerhard: Deutscher Münzkatalog. 18. Jahrhundert, 3. Aufl., München 2002, S. 135, lfd. Nr. 52. 
 Das Preußische Münzwesen im 18. Jahrhundert, Bd. 1, H. 1, Die Münzen aus der Zeit der Könige Friedrich I. und Friedrich Wilhelm I., bearb. v. Friedrich Freiherr von Schrötter, Berlin 1902, Nachdruck Bielefeld 1978 (Acta Borussica. Denkmäler der Preußischen Staatsverwaltung im 18. Jahrhundert)., S. 69, lfd. Nr. 167","Magdeburg, 1714","Vs: Umschrift unter Strichrand: FRID : WILH : D G · REX · BORUSS · 
Brustbild des Königs nach rechts 

Rs: Strichrand 
Der gekrönte Stern des Schwarzen Adlerordens mit rundem Schild; unten H F H = 1714","Preußen
Friedrich Wilhelm I., König in Preußen
Münze
"
48467,2,1820,"Preußen,Friedrich Wilhelm III.,König von Preußen,Münze",X 2596,"Taler, Königreich Preußen, Friedrich Wilhelm III. (1797-1840), Rheinprovinz, 1822",,,"3,46 cm",,"22,3 g",Silber,"Jaeger, Kurt: Die Münzprägungen der deutschen Staaten vor Einführung der Reichswährung. (1806 - 1873), Bd. 9, Königreich Preußen 1786 - 1873, 2. Aufl., Basel 1970, Nr. 37. 
 Weyl, Adolph: Die Paul Henckel'sche Sammlung Brandenburg-Preussischer Münzen und Medaillen, Teil 3, Die Provinzen Sachsen, Rheinprovinz (mit Hohenzollern), Westfalen, Hannover, Schleswig-Holstein, sowie Ansbach-Bayreuth, Neuenburg, Berlin 1876, S. 43, lfd. Nr. 4818. 
 Nachtrag zur Paul Henckel'schen Sammlung Brandenburg-Preussischer Münzen und Medaillen, bearb. v. Adolph Weyl, Berlin 1877, S. 22. 
 Arnold, Paul / Küthmann, Harald / Steinhilber, Dirk: Grosser deutscher Münzkatalog von 1800 bis heute, Augsburg 1997, S. 224, lfd. Nr. 13","Düsseldorf, 1822","Vs: Umschrift unter Stabrand und Perlkreis: FRIEDR. WILHELM III KOENIG VON PREUSSEN 
Brustbild des Königs in Uniform mit Hermelinmantel, Feldbinde, Stern und Orden nach links 

Rs: Stabrand und Perlkreis 
EIN THALER 
Bekrönter Adler über Pauken, Kanonenrohr und Fahnen 
Im Abschnitt: 1822 / D 
Randschrift: GOTT [Ranke] [Kreuz] [Ranke] MIT [Ranke] [Kreuz] [Ranke] UNS [Ranke] [Kreuz] [Ranke]","Preußen
Friedrich Wilhelm III., König von Preußen
Münze
"
