id,keywords,year,_labels,_logos,_mAdditionalNotes,_mAdditionalKeywords,_mNotesIntent,_mSigned,_mAdditionalTheme,_mNotesImageAndText,_mText,_mShow,_mTitle,_mStrategy,_mCulturalContext,_mTone,_mConcern,_mLetteringStyle,_mContains,_mMade
100B0001_DSC1755,"civil rights,gender equality,institutions,supreme court,political parties,justice,rage,indignation,complaint",,"pink, text, font, magenta, poster",,,"justice,quote,pink",,,quotes,"delayed and denied are in different font styles, denied is a print that looks like a stamp, the remainder of the message is spelled out in duct tape",Justice delayed is justice denied. ,,Delayed/Denied,complaint,"famous protest slogan, historic reference, other:","rage, indignation","civil rights, gender equality, institutions, supreme court, political parties, justice","block, decorative",text only,"print, marker, tape"
100B0001_DSC1756,"civil rights,women's rights,resistance,Rage,Determination,demand,call to action",,"pink, text, font, number, magenta",,,"rise,resist,pink,rise up",,,,,Rise up. ,,Rise Up,"demand, call to action",,"Rage, Determination","civil rights, women's rights, resistance",Block,text,Marker
100B0001_DSC1759,"civil rights,election,resistance,rage,determination,demand,call to action",,"pink, text, font, number, magenta",,,"Resist,pink,resistance",,,,,Resist.,,Resist.,"demand, call to action",famous protest slogan,"rage, determination","civil rights, election, resistance",block,text only,marker
100B0001_DSC1760,"feminism,gender equality,women's rights,Humor,Indignation,demand,complaint",,"text, font, banner, advertising, signage",,,"fundamental rights,lyrics,women's rights,human rights",,,,play on FUN-damental rights,Girls just wanna have fundamental rights,,Girls Just Wanna,"demand, complaint",pop culture,"Humor, Indignation","feminism, gender equality, women's rights",Block,text,Marker
100B0001_DSC1761,"earth,love,Loving,supportive,encouragement,solidarity",,"drawing, font, artwork, art, sketch",,,"I'm with you,solidarity,heart,love,planet",,,,,"I'm with you",heart colored to look like planet,"I'm With You","encouragement, solidarity",,"Loving, supportive","earth, love",Handwritten,"text, illustration","Marker, Kids drawing"
100B0001_DSC1762,"lgbtq,love,Loving,solidarity",,"pink, text, font, art, drawing",,"origins in response to Orlando, crossover between causes/protests - LGBT shooting and women's march","LGBTQ,love is love,patterns",,,,block letters filled with different patterns,Love is Love is Love is Love. ,multicolor arrow,Love is Love,solidarity,pop culture,Loving,"lgbtq, love","Block, Decorative","text, illustration",Marker
100B0001_DSC1764,"civil rights,feminism,gender equality,migrant rights,reproductive rights,trans rights,women's rights,Loving,encouragement,solidarity",,"text, child art, font, art, drawing",,,"equal rights,illustration,flag,flowers",,,,colorful block letters,All rights are equal rights,"white house, american flag, flowers",All Rights Are...,"encouragement, solidarity",,Loving,"civil rights, feminism, gender equality, migrant rights, reproductive rights, trans rights, women's rights",Block,"text, illustration","Drawing, Marker, Kids drawing"
100B0001_DSC1765,"black lives matter,civil rights,climate,earth,environment,feminism,gender equality,immigration,lgbtq,love,migrant rights,women's rights,trump,mental health, healthcare,Rage,Indignation,Determination,solidarity",,"text, font, poster, advertising, sign",,,"not my president,healthcare,black lives matter,human rights,science,mental illness",,,,different statements have different font styles,"Black lives matter, love is love, womens rights are human rights, no human is illegal, science, is read, PTSD is not a weakness, Healthcare is a right, water is live, Trump is Not my president",,Statements,solidarity,"pop culture, famous protest slogan","Rage, Indignation, Determination","black lives matter, civil rights, climate, earth, environment, feminism, gender equality, immigration, lgbtq, love, migrant rights, women's rights, trump, mental health,  healthcare","Block, Decorative, Handwritten",text,"Print, Marker"
100B0001_DSC1766,"abortion,reproductive rights,Determination,solidarity",,"pink, text, font, poster, area",,,"Planned Parenthood,I stand,solidarity,pink",,,association with organization/company,,I stand with Planned Parenthood. Planned Parenthood.,planned parenthood logo,Planned Parenthood,solidarity,Other:,Determination,"abortion, reproductive rights","Typeface (imitative), Block, San Serif",text,Print
100B0001_DSC1769,"love,community,meta,loving,hopeful,encouragement,solidarity",,"text, font, area, writing, design, product, number",,,"hope,crowds,community",,,,patterned block letters,Our numbers give me hope,,Give me Hope,"encouragement, solidarity",,"meta, loving, hopeful","love, community",block,text only,marker
100B0001_DSC1770,"lgbtq,religion,rage,loving,indignation,demand,call to action",,"blue, text, font, advertising, area",,,"dharma,dyke,religious symbolism,separation,buddhism",,,,,Dharma Dyke No Separation!,dharmachakra - wheel of Dharma,Dharma Dyke,"demand, call to action",,"rage, loving, indignation","lgbtq, religion",handwritten,"text, illustration",marker
100B0001_DSC1771,"feminism,gender equality,women's rights,assertive,rage,demand,solidarity",,"text, font, design, calligraphy, writing",,,"hear us,voice,women's rights,human rights",,,,sound waves surround the word voice,"Hear our voice all women's rights are human rights",sound waves,Hear our Voice,"demand, solidarity",famous protest slogan,"assertive, rage","feminism, gender equality, women's rights","block, hand-written, handwritten","text, illustration",marker
100B0001_DSC1772,"civil rights,feminism,gender equality,institutions/supreme court/political parties,women's rights,assertive,indignation,demand",,"text, font, handwriting, writing, line",,,"respect my existence, resistance, respect",,,,,Respect my Existence or Expect Resistance,,Respect or Expect,demand,"famous protest slogan (e.g. we shall overcome, black lives matter)","assertive, indignation","civil rights, feminism, gender equality, institutions/supreme court/political parties, women's rights",hand-written,text,marker
100B0001_DSC1773,"election,feminism,gender equality,history,women's rights,trump,assertive,rage,meta (comment on sign or protest,e.g. ""i make the best signs""),solidarity,threat",,"blue, text, font, handwriting, line",,,"march, movement, pussy, trump, genitals",,,,different colors used per section,"The is not just a march it's a movement... and we are coming for you, pussy-grabber",text,"It's a Movement","solidarity, threat",things trump said,"assertive, rage, meta (comment on sign or protest, e.g. ""i make the best signs"")","election, feminism, gender equality, history, women's rights, trump","decorative, serif, hand-written",text,marker
100B0001_DSC1774,"election,hate,love,unity,assertive,loving,encouragement,call to action",,"blue, text, font, sign, signage",Australian Canoeing,,"united, divided, strength, weakness, unity",,,,"words in blue in red, with the contrasting words in red","We are only as strong as we are united, as weak as we are divided.",red vertical line,United/Divided,"encouragement, call to action",famous protest slogan,"assertive, loving","election, hate, love, unity","typeface (imitative), block, sans serif",text,"collage, paper cut outs"
100B0001_DSC1775,"hate,lgbtq,love,trump,resistance,loving,encouragement,solidarity",,"pink, text, font, brand",Paco Pumps,,"LGBTQ, love, hate, love trumps hate, rainbow, equality",,,,"the O in love is a heart. Trumps is written in rainbow coloring, while love and hate are written in pink. ",Love Trumps Hate,heart,Love Trumps Hate,"encouragement, solidarity",famous protest slogan,loving,"hate, lgbtq, love, trump, resistance","block, sans serif",text,print
100B0001_DSC1777,"immigration,islam,migrant rights,religion,women's rights,rage,indignation,solidarity",,"poster, text, font, sign, signage",,,"i am woman, hear me roar, muslim, lion",,,,"text written within lion's mouth to make it appear as if it is roaring them",I am woman & if you threaten Muslim Americans you will hear me roar,lion,Hear Me Roar,solidarity,"pop culture (e.g. princess leah, song lyrics, etc)","rage, indignation","immigration, islam, migrant rights, religion, women's rights","typeface (imitative), block, sans serif","text, collage",print
100B0001_DSC1779,"civil rights,feminism,gender equality,women's rights,respect,assertive,indignation,demand",,"text, font, paper, sign",,,"respect, resistance, respect my existence",,,,,respect my existence or expect my resistance ,,Expect Resistance,demand,"famous protest slogan (e.g. we shall overcome, black lives matter)","assertive, indignation","civil rights, feminism, gender equality, women's rights, respect","typeface (imitative), sans serif",text,print
100B0001_DSC1781,"black lives matter,earth,feminism,gender equality,women's rights,peace,loving,solidarity",,"sign, font, product, number, product design","Patriarchy, Circle with 4 Lines",,"peace, venus symbol, black power, black lives matter, symbols",,,,,,"peace sign, venus symbol with black power fist",Peace and Equality,solidarity,"famous protest slogan (e.g. we shall overcome, black lives matter)",loving,"black lives matter, earth, feminism, gender equality, women's rights, peace",,printed image,print
100B0001_DSC1782,"civil rights,feminism,gender equality,women's rights,respect,loving,demand,encouragement",,"text, purple, font, area, line",,,"equality, respect",,,,,Equality and Respect for all,,Equality and Respect,"demand, encouragement",,loving,"civil rights, feminism, gender equality, women's rights, respect","block, cursive, sans serif",text,"marker, paper cut outs"
100B0001_DSC1783,"civil rights,women's rights,determined,solidarity",,"text, font, product, number, product design",,,"rise, rise up, together",,,,,Together we rise,,We Rise,solidarity,,determined,"civil rights, women's rights",block,text,marker
100B0001_DSC1784,"feminism,gender equality,women's rights,women's march,assertive,loving,indignation,encouragement,call to action",,"text, font, purple, design, number",,,"march, like a girl",,,,random letters in each word bolded and colored,March like a girl,"lines around 'girl' for emphasis",Like a Girl,"encouragement, call to action","pop culture (e.g. princess leah, song lyrics, etc)","assertive, loving, indignation","feminism, gender equality, women's rights, women's march","block, hand-written","text, illustration",marker
100B0001_DSC1785,"black lives matter,assertive,solidarity",,"text, font, diagram, design, line",,,"hashtag, #blacklivesmatter",,,,,#Black Lives Matter,,#BLM,solidarity,"internet (tweets, tech jargon (e.g. alt r+ del)), famous protest slogan (e.g. we shall overcome, black lives matter)",assertive,black lives matter,hand-written,text,marker
100B0001_DSC1786,"feminism,gender equality,women's rights,trump,anatomy,assertive,rage,indignation,solidarity,retaliation",,"text, font",,,"pussy, grabs back, trump quote, retaliation",,,,each statement is housed within a black rectangle. The pattern was either repeatedly printed or stamped.,This pussy grabs back (repeated 8 times),text,Grabs Back,"solidarity, retaliation",things trump said,"assertive, rage, indignation","feminism, gender equality, women's rights, trump, anatomy","block, hand-written",text,print
100B0001_DSC1787,"abortion,feminism,gender equality,reproductive rights,women's rights,assertive,demand,solidarity",,"text, white, handwriting, font, number, writing, line, calligraphy, paper, sign",,,"rights, woman, control, body",,,,,"""No woman can call herself free who does not control her own body"" -Margaret Singer",,Margaret Singer Quote,"demand, solidarity","historic reference (e.g. witch hunts, founding fathers, slavery, etc.)?",assertive,"abortion, feminism, gender equality, reproductive rights, women's rights",hand-written,text,marker
100B0001_DSC1789,"black lives matter,civil rights,gender equality,lgbtq,love,women's rights,assertive,loving,demand,solidarity",,"pink, text, font, area, handwriting",,,"human rights, black lives matter, love is love, venus symbol",,,,words appear in black over illustration of pink venus symbol,"Woman's rights are human rights. Black lives matter. Love is love.",venus symbol,Statements of Equality,"demand, solidarity",famous protest slogan,"assertive, loving","black lives matter, civil rights, gender equality, lgbtq, love, women's rights",hand-written,"text, illustration","drawing, paint"
100B0001_DSC1791,"abortion,gender equality,love,reproductive rights,women's rights,assertive,loving,encouragement,solidarity",,"blue, text, font, purple, handwriting",,,"future is female, hashtag, abortion, reproductive rights",,,,,"The future is female! I am Dr. Tiller. Everyday, good women choose abortion. Everyday, we care for their bodies & hearts. When you come here, bring only love. www.cherryhillwomenscenter.com #MV",,Future is Female,"encouragement, solidarity",business adversitsement,"assertive, loving","abortion, gender equality, love, reproductive rights, women's rights","typeface (imitative), block",text,"drawing, print, collage, sticker"
100B0001_DSC1793,"abortion,civil rights,resistance,rage,indignation,encouragement,call to action",,"text, font, poster, line, area",,,"speak up, protest, abortion, prochoice, silence",,,,"'End', 'silent', and 'matter' underlined for emphasis. Stickers around poster themed around abortion. ",Our lives begin to end the day we become silent about the things that matter. (Stickers have text about abortion). ,,Our Lives End,"encouragement, call to action",,"rage, indignation","abortion, civil rights, resistance","block, serif",text,"marker, stickers"
100B0001_DSC1794,"religion,assertive,humor,cultural reference",,"pink, text, font, design, line",,,"not today satan, flames, quote, drag queen, venus symbol","said by Bianca Del Rio from RuPaul's Drag Race",,,,"Not Today, Satan!","flames, letters in text as venus symbol",Not Today,cultural reference,"popular memes (viral content like lol cats), pop culture (e.g. princess leah, song lyrics, etc)","assertive, humor",religion,"serif, hand-written","text, illustration","drawing, marker"
100B0001_DSC1796,"election,institutions/supreme court/political parties,trump,assertive,rage,demand,call to action",,"text, purple, pink, font, violet",,,"tax returns, trump, election",,,,bright purple poster board ,Yes we do want to see your tax returns,,Tax Returns,"demand, call to action",things trump said,"assertive, rage","election, institutions/supreme court/political parties, trump",block,text,marker
100B0001_DSC1797,"election,institutions/supreme court/political parties,trump,assertive,determined,threat",,"text, font, design, writing, pattern",,,"voting, american flag, future, election",,,,"text written in red and blue, words underlined for emphasis","I'm voting next time watch out!",american flags,Next Time,threat,,"assertive, determined","election, institutions/supreme court/political parties, trump","block, hand-written","text, illustration","drawing, marker"
100B0001_DSC1799,"institutions/supreme court/political parties,trump,humor,insults,indignation,complaint",,"text, font, picture frame, calligraphy",Pink Elephant Trumpet,,"quote, Khzir Khan, constitution, trump, lack of information",,,,impressive illustration and calligraphy ,Have you ever read the US Constitution? -Khzir Kahn,scroll,Have You Read?,complaint,"pop culture (e.g. princess leah, song lyrics, etc), quotes","humor, insults, indignation","institutions/supreme court/political parties, trump","decorative, serif, hand-written","text, illustration, drawing","drawing, marker, crayola"
100B0001_DSC1800,"love,justice,assertive,determined,solidarity",,"text, font, material, pattern, product",,,"justice, solidarity, pledge of allegiance",,,,,And justice for all,rainbow tape border,Justice,solidarity,pop culture,"assertive, determined","love, justice",block,text,"marker, tape"
100B0001_DSC1801,"election,feminism,gender equality,trump,humor,rage,indignation,complaint",,"text, font, art, area, line",,,"president, trump, golden showers, cat, cloud","reference to golden shower rumors about Trump, play on the word pissing",,,"cloud raining yellow liquid, yellow droplets coming from word pissing","Mr. President: you're pissing me(ow) off! And it's only day 1!!","cat, rain cloud, yellow liquid",Pissing Me Off,complaint,"popular memes (viral content like lol cats), things trump said","humor, rage, indignation","election, feminism, gender equality, trump","block, hand-written","text, illustration, drawing","drawing, marker, crayola, kids drawing"
100B0001_DSC1802,"abortion,election,feminism,gender equality,reproductive rights,women's rights,country,strength,assertive,loving,encouragement,solidarity",,"pink, text, font, magenta, handwriting",,,"my body, my choice, country, vote, strength",,,,,"My body, my choice, my country, my vote! Stronger together",,Stronger Together,"encouragement, solidarity","famous protest slogan (e.g. we shall overcome, black lives matter)","assertive, loving","abortion, election, feminism, gender equality, reproductive rights, women's rights, country, strength",hand-written,text,marker
100B0001_DSC1803,"civil rights,gender equality,police brutality,race,women's rights,justice,equality,assertive,loving,demand,solidarity",,"text, yellow, font, sign, line",,,"justice, equality, privilege, stand up, sacrifice",,,,,Justice over comfort equality over priviledge,text,Justice and Equality,"demand, solidarity",famous protest slogan,"assertive, loving","civil rights, gender equality, police brutality, race, women's rights, justice, equality",block,text,marker
100B0001_DSC1804,"civil rights,election,institutions/supreme court/political parties,trump,capitalism,assertive,rage,demand",,"text, font, orange, banner, advertising",,,"profit, capitalism, corporations, corporate cabinet",,,,words colored for emphasis,"people over profit, no corporate cabinet!",text,People Over Profit,demand,famous protest slogan,"assertive, rage","civil rights, election, institutions/supreme court/political parties, trump, capitalism","block, hand-written",text,paint
100B0001_DSC1806,"lgbtq,race,trump,loving,demand",,"text, font, line, child art, material",,,"trump, all people, diversity, flag, stick figures",,,,,"President Trump, president of all the poeple","american flag, people, rainbow stick figures",All the People,demand,,loving,"lgbtq, race, trump","block, hand-written","text, drawing","drawing, marker, kids drawing"
100B0001_DSC1807,"oppression,retaliation,indignation,determined,encouragement,solidarity",,"text, font, handwriting, writing, line",,,"quote, bury us, seeds, Dinos Christianopoulos, oppression",quote,,,,"They tried to bury us. They didn't know we were seeds. -Dinos Christianopoulos",,Bury Us,"encouragement, solidarity","pop culture (e.g. princess leah, song lyrics, etc), famous protest slogan (e.g. we shall overcome, black lives matter)","indignation, determined","oppression, retaliation",hand-written,text,marker
100B0001_DSC1810,"trump,resistance,assertive,solidarity,call to action",,"text, font, sign, signage, number",,,"action, bluster, language, trump",,,,,Action over bluster,,Action Over,"solidarity, call to action",things trump said,assertive,"trump, resistance",block,text,marker
100B0001_DSC1811,"feminism,gender equality,reproductive rights,women's rights,abortion,uterus,assertive,indignation,demand,call to action",,"text, font, signage, sign",,,"organ donation, reproductive rights, womb, uterus, abortion",,,,,Organ donation before womb occupation,text,Womb Occupation,"demand, call to action",historic reference,"assertive, indignation","feminism, gender equality, reproductive rights, women's rights, abortion, uterus","block, hand-written",text,marker
100B0001_DSC1812,"feminism,gender equality,women's rights,assertive,determined,encouragement,solidarity",,"text, purple, pink, font, violet, handwriting, line, design, writing, number",,,"future, nasty, women",,,,,The Future is Nasty,,The Future Is Nasty,"encouragement, solidarity",things trump said,"assertive, determined","feminism, gender equality, women's rights",hand-written,text,marker
100B0001_DSC1813,"institutions/supreme court/political parties,obama,trump,healthcare,indignation,commentary",,"text, font, area, product, banner",,#sad drawing from comments made by trump,"hashtag, healthcare, sad, repeal healthcare",,,,,"repealing healthcare for 20,000,000; #sad",,Repealing Healthcare,commentary,"internet (tweets, tech jargon (e.g. alt r+ del)), things trump said",indignation,"institutions/supreme court/political parties, obama, trump, healthcare",block,text,marker
100B0001_DSC1814,"earth,environment,gender equality,lgbtq,resistance,respect,assertive,loving,determined,demand",,"text, font, product design, circle",,,"respect existence, expect resistance, peace sign, rainbow",,,,,Respect existence or expect resistance,rainbow peace sign,Existence/Resistance,demand,famous protest slogan,"assertive, loving, determined","earth, environment, gender equality, lgbtq, resistance, respect",hand-written,"text, illustration, drawing","drawing, marker"
100B0001_DSC1815,"hate,love,trump,assertive,loving,encouragement,solidarity",,"blue, text, font, writing, area",,,"love, hate, make america great again, slogan",,,,,love not hate makes america great,,Love Not Hate,"encouragement, solidarity",things trump said,"assertive, loving","hate, love, trump","block, cursive, hand-written",text,marker
100B0001_DSC1816,"hate,race,trump,class,1%,oppression,humor,rage,indignation,complaint,solidarity",,"text, font, handwriting, writing, paper",,,"class, 1%, oppression, trump, white men",,,,,"Give me your rich white men, your conniving 1% yearning to oppress",trump raising his hand,Give Me Your...,"complaint, solidarity","pop culture (e.g. princess leah, song lyrics, etc), famous protest slogan (e.g. we shall overcome, black lives matter), historic reference (e.g. witch hunts, founding fathers, slavery, etc.)?","humor, rage, indignation","hate, race, trump, class, 1%, oppression",block,"text, drawing","drawing, marker"
100B0001_DSC1817,"feminism,gender equality,women's rights,uterus,misogyny,assertive,indignation,dismissal",,"pink, text, font, magenta, purple",,,"period, misogyny, menstruation, response",,,,"block letters colored with different patterns, on of which looks like drops of blood","No, I'm not on my period",,"No, I'm Not",dismissal,,"assertive, indignation","feminism, gender equality, women's rights, uterus, misogyny",block,text,marker
100B0001_DSC1818,"feminism,gender equality,women's rights,stereotype,humor,indignation,solidarity,challenging expectations",,"text, font, handwriting, writing, line",,,"stereotypes, feminine, silly girl, equal rights",,,,"'equal rights' colored in",Just another silly girl worrying her pretty little head about equal rights,,Silly Girl,"solidarity, challenging expectations",,"humor, indignation","feminism, gender equality, women's rights, stereotype","block, cursive",text,marker
100B0001_DSC1819,"progress,country,assertive,encouragement",,"blue, text, pink, font, design",,,"latin, e pluribus unum, red white blue, forward, country",,,,"latin translation: out of many, one - the motto of the US","Taking the country forward, e pluribus unum, e pluribus unum.",american flags,Forward,encouragement,"pop culture (e.g. princess leah, song lyrics, etc), famous protest slogan (e.g. we shall overcome, black lives matter)",assertive,"progress, country","block, cursive","text, illustration","drawing, marker"
