id,imageid,year,keywords,_titel,_bemerkung,_ausleihe,_rueckgabe,_digitalisat1,_digitalisat2,_digitalisat3,_opac,_verfasser
11,138790639,1795,"Geschichte,Regionalgeschichte,Lokalgeschichte,Ausland,Kunst,Ästhetik,Bildende Kunst,Graphik,Geographie,Reisebeschreibungen,Europa,Italien,Spanien,Portugal","Weinlichs Briefe über Rom, in 1 Bde",Rückgabe vor dem 06.12.1797 (kein Übertrag in Ausleihjournal Loc A 35.2).,02.11.1795,XX.XX.17XX,https://archive.org/details/briefeuberromver02wein,https://haab-digital.klassik-stiftung.de:443/viewer/image/1513411535/104/,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10014281020,https://lhwei.gbv.de/DB=2/PPN?PPN=138790639,"Weinlig,  Christian Traugott"
12,139768378,1812,"Geschichte,Weltgeschichte,Mittelmeer,Altertum,Mittelalter",Heerens Ideen. 3{r} Thl.,"Zusätzlich 1812-1813 in Ausleihjournal Loc A 35.6, Blatt 105 r und 107 r, im Alphabet der Autoren/Titel unter Buchstabe H als Entleihung J. W. Goethes verzeichnet.",06.10.1812,15.01.1813,https://archive.org/details/ideenberdiepoli00heergoog,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10000470815,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10014283298,https://lhwei.gbv.de/DB=2/PPN?PPN=139768378,
13,140189475,1825,"Geographie,Reisebeschreibungen,Europa,Italien,Spanien,Portugal",Ferrario: Monumenti della Basilica di St. Ambrogio in Milano 1824,,05.12.1825,07.02.1826,https://archive.org/details/monumentisacriep00ferr,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10000644451,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10014286120,https://lhwei.gbv.de/DB=2/PPN?PPN=140189475,"Ferrario, Giulio "
14,140914927,1827,"Geschichte,Weltgeschichte,Mittelmeer,Altertum,Mittelalter,Naturwissenschaften,Technik,Lebenswissenschaften,Zoologie",Ranking Wars and Sports,,07.01.1827,11.01.1827,https://archive.org/details/historicalresear00rank_0,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10000710055,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10014286448,https://lhwei.gbv.de/DB=2/PPN?PPN=140914927,"Ranking, John"
15,141156791,1816,"Theologie,Kirchengeschichte,Mittelalter","d'Ohsson Tableau génér. de l'Empire Othoman. Vol. I. II. av. fig. 2 Vol.","In Ausleihjournal Loc A 35.9 aufgeführt in einem gemeinsamen Verzeichnis ""Ihro Excellenz Staatsminister von Goethe und Frau Geheimeräthin"".",23.01.1816,02.03.1816,https://archive.org/details/tableaugnral01mour,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10000602198,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10014284044,https://lhwei.gbv.de/DB=2/PPN?PPN=141156791,"Mouradgea D'Ohsson, Ignatius"
16,142934968,1791,"Naturwissenschaften,Technik,Physik,Optik,Farbenlehre","Physico-Mathesis de lumine, Bonon. 1765. ",Rückgabe vor dem 06.12.1797 (kein Übertrag mehr in Ausleihjournal Loc A 35.2).,05.10.1791,XX.XX.17XX,https://archive.org/details/bub_gb_2dIm6Lk6uNMC,,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10014280918,https://lhwei.gbv.de/DB=2/PPN?PPN=142934968,"Grimaldi, Francesco Maria "
17,142934968,1799,"Naturwissenschaften,Technik,Physik,Optik,Farbenlehre",Grimaldi de Lumine.,,05.06.1799,16.10.1799,https://archive.org/details/bub_gb_2dIm6Lk6uNMC,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10000109863 ,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10014281356,https://lhwei.gbv.de/DB=2/PPN?PPN=142934968,"Grimaldi, Francesco Maria "
18,142934968,1806,"Naturwissenschaften,Technik,Physik,Optik,Farbenlehre",Grimaldi de Lumine.,"In Ausleihjournal Loc A 35.5, Blatt 83 r, zunächst Titel irrtümlich rot gestrichen, im Anschluss jedoch schwarze gepunktete Linie unter Werktitel gesetzt. - Erst in Ausleihjournal Loc A 35.7 Rückgabedatum (ohne Jahr) vermerkt und ausgestrichen. - Rückgabe spätestens am 10.03.1813, da nicht mehr auf Blatt 125 v übertragen.",12.09.1806,10.03.18XX,https://archive.org/details/bub_gb_2dIm6Lk6uNMC,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10000039658,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10014282343,https://lhwei.gbv.de/DB=2/PPN?PPN=142934968,"Grimaldi, Francesco Maria "
19,142962945,1819,"Buchwesen,Nachschlagewerk",Soverby über Farben. Engl.,,23.05.1819,30.11.1819,https://archive.org/details/gri_c00033125008617298,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10000612910,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10014284760,https://lhwei.gbv.de/DB=2/PPN?PPN=142962945,"Sowerby, James"
20,143777319,1803,"AltGriechisch,Griechisch,Literatur,Philosophie,Biographien,Memoiren,Leichenpredigten,Briefe,Einzelne Personen,Kunst,Ästhetik,Bildende Kunst,Sammlungen,Inventare",Philostrats. Beschreibg von Gemälden in ei. Opp. ex edit. Olearii,,27.12.1803,14.06.1804,https://archive.org/details/tatonphilostrato00phil,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10000011031,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10014281955,https://lhwei.gbv.de/DB=2/PPN?PPN=143777319,"Philostratus, Flavius "
21,144224496,1815,"Theologie,Kirchengeschichte,Mittelalter,Philosophie,Islam,Islamisch,Religion","Oelsner, Mahomed, Darstellung des Einflusses s. Glaubenslehre auf das Mittelalter.",,23.02.1815,06.05.1815,https://archive.org/details/bub_gb_ljIXAAAAYAAJ,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10000491181,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10014283850,https://lhwei.gbv.de/DB=2/PPN?PPN=144224496,"Oelsner, Konrad Engelbert"
22,14427048X,1818,"Geographie,Atlanten,Atlas,Buchwesen,Nachschlagewerk",Golius Lexicon arabico-latinum.,,03.11.1818,06.11.1818,https://archive.org/details/bub_gb_4NEipe8ei4oC,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10000606496,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10014284567,https://lhwei.gbv.de/DB=2/PPN?PPN=14427048X,"Golius, Jacobus "
23,145783561,1795,"Landwirtschaft,Forstwirtschaft",Doni de salubritate agri Romani restituenda.,Rückgabe vor dem 06.12.1797 (kein Übertrag in Ausleihjournal Loc A 35.2).,10.10.1795,XX.XX.17XX,https://archive.org/details/ita-bnc-mag-00001474-001,https://haab-digital.klassik-stiftung.de:443/viewer/image/1513411535/104/,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10014280991,https://lhwei.gbv.de/DB=2/PPN?PPN=145783561,"Donius,  Joannes Baptista"
24,145783561,1795,"Landwirtschaft,Forstwirtschaft",Doni de salubritate agri Romani restituenda.,Rückgabe vor dem 06.12.1797 (kein Übertrag in Ausleihjournal Loc A 35.2).,10.10.1795,XX.XX.17XX,https://archive.org/details/ita-bnc-mag-00001474-001,https://haab-digital.klassik-stiftung.de:443/viewer/image/1513411535/104/,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10014280991,https://lhwei.gbv.de/DB=2/PPN?PPN=145783561,"Donius,  Joannes Baptista"
25,146119835,1823,"Biographien,Memoiren,Leichenpredigten,Briefe,Sammelwerke",Galleria Reale di Firenze Distr. 1-78.,,05.04.1823,22.04.1823,https://archive.org/details/bub_gb_CV5cS3T0pLkC,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10000629579,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10014285488,https://lhwei.gbv.de/DB=2/PPN?PPN=146119835,
26,146205448,1828,"Kunst,Ästhetik,Kunsttheorie,Bildende Kunst,Graphik",Moritz Begriffe zu ein. Theorie der Ornamente. M. K.,Rückgabe vor dem 26.11.1828 (kein Übertrag in Ausleihjournal Loc A 35.16).,26.04.1828,XX.XX.1828,https://archive.org/details/bub_gb_cL9LAAAAYAAJ,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10000710089,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10014286852,https://lhwei.gbv.de/DB=2/PPN?PPN=146205448,"Moritz, Karl Philipp "
27,146680669,1820,"Sprache,Philologie,italienisch",Xenophon Epheseus Anthia et Habrocome,,16.10.1820,19.10.1820,https://archive.org/details/xenophontisephes00xenouoft,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10000612960,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10014285138,https://lhwei.gbv.de/DB=2/PPN?PPN=146680669,Xenophon <Ephesius>
28,147028337,1822,"Kunst,Ästhetik,Bildende Kunst,Graphik",Drei Neugriechische Lexika. ,Rückgabe vor dem 05.04.1823 (kein Übertrag in Ausleihjournal Loc A 35.13).,02.12.1822,XX.XX.18XX,https://archive.org/details/tesorodellaling00alexgoog,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10000635927,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10014285401,https://lhwei.gbv.de/DB=2/PPN?PPN=147028337,Alexis <de Sommevoire>
29,147448832,1811,"Kunst,Ästhetik,Kunsttheorie,Deutsch,Literatur,Aufklärung,Neuzeit",Bodmers Betrachtungen über poetische Gemälde.,"Zusätzlich 1811 in Ausleihjournal Loc A 35.6, Blatt 23 v, im Alphabet der Autoren/Titel unter Buchstabe B als Entleihung J. W. Goethes verzeichnet.",04.10.1811,08.02.1812,https://archive.org/details/johannjacobbodme00bodm,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10000470796,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10014283165,https://lhwei.gbv.de/DB=2/PPN?PPN=147448832,"Bodmer, Johann Jacob"
30,147607566,1823,"Kunst,Ästhetik,Bildende Kunst,Sammlungen,Inventare,Archäologie,Klassische Archäolgie,Skulptur","[A Descripion] of ancient Terra'cottas in the British' Museum.",Entleihung vermutlich zwischen dem 01.05.1823 (zuvor notiertes Ausleihdatum) und 26.05.1823 (Rückgabe).,XX.05.1823,26.05.1823,https://archive.org/details/adescriptioncol02combgoog,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10000629579,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10014285527,https://lhwei.gbv.de/DB=2/PPN?PPN=147607566,
31,150150970,1827,"Kunst,Ästhetik,Archäologie,Klassische Archäolgie,Bildende Kunst,Graphik","Le Pitture d'Ercolano T. 5. 6. 2 Vol.",,19.03.1827,22.03.1827,https://archive.org/details/A216164,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10000710055,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10014286483,https://lhwei.gbv.de/DB=2/PPN?PPN=150150970,
32,150150989,1827,"Kunst,Ästhetik,Archäologie,Klassische Archäolgie,Bildende Kunst,Graphik",Le pitture Antiche herculanum T. VI.,,22.01.1827,12.02.1827,https://archive.org/details/A216163v1,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10000710055,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10014286448,https://lhwei.gbv.de/DB=2/PPN?PPN=150150989,
33,150429959,1804,"Deutsch,Literatur,Goethezeit,Neuzeit",Wilh. Tell von Veit Weber.,,22.11.1804,18.06.1805,https://archive.org/details/wilhelmtelleinsc00wc,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10000039629,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10014282033,https://lhwei.gbv.de/DB=2/PPN?PPN=150429959,"Weber, Veit"
34,151648174,1815,"Deutsch,Literatur,Goethezeit,Neuzeit,Geographie,Reisebeschreibungen,Europa,Italien,Spanien,Portugal",Moritzens Reise nach Italien. 1-3 Thl In einem Bde.,,28.04.1815,22.05.1815,https://archive.org/details/reiseneinesdeuts02mori,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10000491181,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10014283923,https://lhwei.gbv.de/DB=2/PPN?PPN=151648174,"Moritz, Karl Philipp"
35,15581558X,1812,"Geographie,Reisebeschreibungen,Europa,Russisches Reich,Südosteuropa",Bergman̄s Streifereyen. 4 Bde.,"Zusätzlich 1812 in Ausleihjournal Loc A 35.6, Blatt 30 r, im Alphabet der Autoren/Titel unter Buchstabe B als Entleihung J. W. Goethes verzeichnet.Das vierteilige Werk befindet sich heute in zwei physischen Bänden im Bestand. Diese tragen den Besitzstempel der Herzoglichen Bibliothek (bis 1815) und wurden während der Regierungszeit des (Groß)Herzogs Karl August gebunden (Supralibros CA).",12.10.1812,15.01.1813,https://archive.org/details/benjaminbergman00berggoog,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10000470822,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10014283326,https://lhwei.gbv.de/DB=2/PPN?PPN=15581558X,"Bergmann, Benjamin, von"
36,155815598,1812,"Geographie,Reisebeschreibungen,Europa,Russisches Reich,Südosteuropa",Bergman̄s Streifereyen. 4 Bde.,"Zusätzlich 1812 in Ausleihjournal Loc A 35.6, Blatt 30 r, im Alphabet der Autoren/Titel unter Buchstabe B als Entleihung J. W. Goethes verzeichnet.Das vierteilige Werk befindet sich heute in zwei physischen Bänden im Bestand. Diese tragen den Besitzstempel der Herzoglichen Bibliothek (bis 1815) und wurden während der Regierungszeit des (Groß)Herzogs Karl August gebunden (Supralibros CA).",12.10.1812,15.01.1813,https://archive.org/details/bub_gb_LmQFAAAAQAAJ,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10000470822,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10014283326,https://lhwei.gbv.de/DB=2/PPN?PPN=155815598,"Bergmann, Benjamin, von"
37,155853724,1819,"Geographie,Atlanten,Atlas",Kontzow Pomerania von Kosegart. 2 Bde.,,20.03.1819,27.04.1819,https://archive.org/details/bub_gb_WdsAAAAAcAAJ,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10000612903,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10014284683,https://lhwei.gbv.de/DB=2/PPN?PPN=155853724,"Kantzow, Thomas"
38,155853732,1819,"Geographie,Atlanten,Atlas",Kontzow Pomerania von Kosegart. 2 Bde.,,20.03.1819,27.04.1819,https://archive.org/details/bub_gb_2r4rAQAAIAAJ,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10000612903,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10014284683,https://lhwei.gbv.de/DB=2/PPN?PPN=155853732,"Kantzow, Thomas "
39,156930773,1819,"Sprache,Philologie,italienisch",Beccega Construzione del Teatro moderno. Venez. 1817.,Erst in Ausleihjournal Loc A 35.12 Rückgabedatum vermerkt und ausgestrichen.,20.12.1819,30.03.1821,https://archive.org/details/gri_33125009747417,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10000612923,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10014284899,https://lhwei.gbv.de/DB=2/PPN?PPN=156930773,
40,166379360,1826,"Geographie,Reisebeschreibungen,Nordamerika,Amerika",Vue de la Colonie Espagnole du Mississipi Par. 1803.,Erst in Ausleihjournal Loc A 35.15 Rückgabedatum vermerkt und ausgestrichen. ,20.09.1826,11.01.1827,https://archive.org/details/vuedelacoloniees00berq,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10000644460,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10014286332,https://lhwei.gbv.de/DB=2/PPN?PPN=166379360,"Berquin-Duvallon, ..."
41,181405695,1800,"Naturwissenschaften,Technik,Physik",Brisson. Diction. Phys. T. I-VI nebst einem Bde. m Kpfrn.,,21.05.1800,03.09.1800,https://archive.org/details/dictionnairerai01brisgoog,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10000109934,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10014281583,https://lhwei.gbv.de/DB=2/PPN?PPN=181405695,"Brisson, Mathurin-Jacques "
42,188254544,1815,"Deutsch,Literatur,Goethezeit,Neuzeit,Geographie,Reisebeschreibungen,Europa,Italien,Spanien,Portugal",Moritzens Reise nach Italien. 1-3 Thl In einem Bde.,,28.04.1815,22.05.1815,https://archive.org/details/reiseneinesdeuts01mori,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10000491181,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10014283923,https://lhwei.gbv.de/DB=2/PPN?PPN=188254544,"Moritz, Karl Philipp"
43,188254609,1815,"Deutsch,Literatur,Goethezeit,Neuzeit,Geographie,Reisebeschreibungen,Europa,Italien,Spanien,Portugal",Moritzens Reise nach Italien. 1-3 Thl In einem Bde.,,28.04.1815,22.05.1815,https://archive.org/details/reiseneinesdeuts03mori,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10000491181,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10014283923,https://lhwei.gbv.de/DB=2/PPN?PPN=188254609,"Moritz, Karl Philipp"
44,undefined,1829,"Englisch,Literatur,seit 1720",Robinson Crusoe von York.,,25.11.1829,28.05.1830,https://archive.org/details/lebenundausseror01defo,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10000717101,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10014287288,https://lhwei.gbv.de/DB=2/PPN?PPN=190436026,"Defoe, Daniel"
45,190436123,1829,"Englisch,Literatur,seit 1720",Robinson Crusoe von York.,,25.11.1829,28.05.1830,https://archive.org/details/lebenundausseror01defo,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10000717101,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10014287288,https://lhwei.gbv.de/DB=2/PPN?PPN=190436123,"Defoe, Daniel "
46,190955481,1820,"Biographien,Memoiren,Leichenpredigten,Briefe,Sammelwerke",Dionys von Halicarnass. v. Benzler 1. 2. Thl.,Erst in Ausleihjournal Loc A 35.12 Rückgabedatum vermerkt und ausgestrichen.,22.12.1820,19.07.1821,https://archive.org/details/bub_gb_2KwpAAAAYAAJ,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10000612960,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10014285209,https://lhwei.gbv.de/DB=2/PPN?PPN=190955481,Dionysius <Halicarnassensis>
47,19095552X,1820,"Biographien,Memoiren,Leichenpredigten,Briefe,Sammelwerke",Dionys von Halicarnass. v. Benzler 1. 2. Thl.,Erst in Ausleihjournal Loc A 35.12 Rückgabedatum vermerkt und ausgestrichen.,22.12.1820,19.07.1821,https://archive.org/details/bub_gb_T5ApAAAAYAAJ,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10000612960,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10014285209,https://lhwei.gbv.de/DB=2/PPN?PPN=19095552X,Dionysius <Halicarnassensis>
