id,year,keywords,imagenum,_verfasser,_ort,_titel,_umfang,_inhalt,_beilagen
KnF_1756-6,1756,"Flugschrift,Replik,Rechtsfrage,Preußen,Reich,Österreich,Streitschrift,Sachsen,Geschichte als Argument",18,,"Wien, Prag: Trattner, 1756","Beantwortung des, unter dem Titul: Ursachen welche Sr. Königl. Majestät in Preußen bewogen sich wider die Absichten des Wienerischen Hofes zu setzen, und deren Ausführung vorzukommen, kund gewordenen Kriegs-Manifests.",19 Seiten,"Österreichische Replik auf  „Exposé des motifs, qui ont obligé Sa Majesté le Roi de Prusse, á prevénir less desseins de la cour de Vienne.“ / deutsch: „Ursachen welche Se. Königl. Maj. in Preussen bewogen, Sich wider die Absichten des Wienerschen Hoffes zu setzen, und deren Ausführung vorzukommen.“ aus dem Oktober 1756; gegen Friedrich als „Friedens-Stöhrer“ sollen „Bundes-Genossen“, „andere Mächte“, v. a. aber die „Reichs-Mit-Stände“ Österreich entsprechend der Reichsverfassung und zum Schutz ihrer eigenen Freiheit unterstützen. Friedrich mißachtet das Völkerrecht, will nicht die Religion schützen, haßt Österreich, weil es das Reich  beschirmt, und ist von Herrschsucht und dem Wunsch nach Vergrößerung Preußens getrieben. Mit der erzwungenen Öffnung des Dresdner Kabinettsarchives habe er nur versucht, seine Intrigen zu verschleiern. Österreich bedrohe Preußen nicht, sondern verteidige sich rechtmäßig. Friedrich verhält sich wortbrüchig, unköniglich und undankbar, da er vergesse, wie sich Maria Theresias Vater für ihn bei seinem Vater eingesetzt habe.",
KnF_1756-7,1756,"Flugschrift,Preußen,Brief,Sachsen,Geschichte als Argument,Soldatentum",31,"[Maubert de Gouvest, Jean Henri]","Varsovie: Zanki, 1756","Sisteme Et Conduite De La Prusse, Ou Lettres D'un General Saxon A Un Gentilhomme Silesien Dans Les Armees Prussiennes. Pour servir de Résponse Aux Manifestes, Exposés, Memoires, Remonstrances, & autres Ecrits, Du Ministere Prussien.",32 Seiten,"Schreiben eines vorgeblich sächsischen Generals im Ausland (Thüringen ) an seinen in preußischen Diensten stehenden Vetter, ein Baron aus Schlesien; der erste Brief, angeblich in Jena am 29. Oktober 1756 verfasst, reagiert auf ein Angebot des Barons an den General, ebenfalls in den Dienst Preußens zu treten.; zweites Schreiben, in Jena am 30. Oktober 1756 verfasst, setzt sich mit der am 15. Oktober 1756 durch den Geschäftsträger Preußens von der Hellen an die Generalstaaten übergebenen „Réponse du sr. de Hellen ministre du Roi auprès des Etats Généraux Au Memoire que le sr. de Cauderbach résident des Saxe a remis à leurs Hautes Puissances en date du 29 septembre 1756“ auseinander.  ",
KnF_1756-8,1756,"Flugschrift,Brief,Sachsen,Friede,Preußen,Österreich,Frankreich,Bündnissystem,Rechtsfrage,Geschichte als Argument",43,,1756,"Lettre D'un Voyageur Actuellement à Dantzig, À Un Ami De Stralsund Sur La Guerre Qui Vient De S'Allumer Dans L'Empire.",43 Seiten,"Legitimierung des Präventivkrieges zum Schutz Preußens, da Österreich, obwohl es den Bestand Preußens 1745 und 1748 garantiert hat, durch Bündnisse mit Rußland und Frankreich nach der Rückereroberung Schlesiens und der Vorherrschaft im Reich strebt und so vertrags- und friedensbrüchig wurde; Die Beteiligung Sachsen an diesen Intrigen ist durch die Öffnung des Dresdner Kabinettsarchives bewiesen; Mit den ausweichenden Antworten Wiens auf entsprechende preußische Fragen konnte sich Friedrich nicht zufrieden geben, da er mit einem Angriff der genannten Mächte rechnen musste; Sachsen wäre Verbündeter sowie Auf – und Durchmarschgebiet der Österreicher bei ihrem geplanten Überfall auf Preußen geworden, wird aber dennoch von Preußen schonend behandelt. Friedrich führt keinen Krieg gegen das Reich, trotzdem versucht es der Kaiser für habsburgische Interessen einzuspannen.",
KnF_1756-9,1756,"Flugschrift,Brief,Rechtsfrage,Preußen,Österreich,Sachsen,Bündnissystem",23,,"Strasbourg, 1756",Lettre Du 6. Novembre 1756 Sur Le Memoire Raisonné Et Ses Pieces Justificatives.,,"Anonymer Autor; Text vorgeblich verfasst in Straßburg, 6. Dezember 1756; Preußen ist der Angreifer und Friedensbrecher, da es weder von Österreich und Rußland noch Sachsen bedroht wurde; Anlass zum Schreiben: ""Memoire pour justifier la conduite du Roi de Prusse contre les fausses impulations de la Cour de Saxe."" Auseinandersetzung im Text erfolgt aber mit dem „Memoire Raisonné Sur La Conduite Des Cours De Vienne Et De Saxe, Et Sur Leurs Desseins Dangereux Contre Sa Majesté Le Roi De Prusse [...]“ und den in diesem veröffentlichten Dokumenten; 2 Schwerpunkte: 
1. Wertung und Interpretation der Kopien und der durch die Öffnung des Dresdner Kabinettsarchives im Zuge des preußischen Einmarsches erbeuteten Originale des Schriftwechsels der sächsischen Minister und Diplomaten 
2. Einschätzung der Bündnisbestrebungen des Wiener, des Moskauer und des sächsischen Hofes und des Petersburger Vertrags (1746) als Defensivvertrag; 
Kopien und Originale können den preußischen Einmarsch in Sachsen nicht legitimieren; Zweifel am Wahrheitsgehalt der Kopien aus der Hand von wenig vertrauenswürdigen („meyneidigen“) Personen sowie am Zeitpunkt, an dem diese in die Hände Friedrichs kamen, da er seine Vorwürfe gegen Sachsen erst nach erfolgten Einmarsch erhebt; letzteres gilt auch für die Originale; diese belegen vielmehr die auf Schutz vor Preußen ausgerichtete Politik; kein Verstoß gegen die im Dresdner Frieden (1745) zwischen Preußen, Sachsen und Österreich beschworene Freundschaft; dem Petersburger Vertrag (1746) liegen Schutzbestrebungen zugrunde, deshalb handelt es sich um ein Defensivbündnis; dem widersprechen auch die Geheimen Artikel nicht, alle Vereinbarungen werden erst im Falle eines Angriffs durch Preußen wirksam; auch die Besetzung von dessen Provinzen ist nach Völkerrecht in diesem Fall legitim, wie auch Beispiele aus der  brandenburgischen Geschichte zeigen; für das Bündnis musste der Wiener Hof die Zarin nicht gegen Preußen aufhetzen, die Furcht vor Friedrich beruht auf dessen expansiver Politik; Sachsen ist dem Petersburger Vertrag nicht beigetreten;
Inhalt und Ton der vom preußischen König von Maria Theresia geforderten Sicherheiten. ",
KnF_1757-1,1757,"Flugschrift,Gedicht,Kriegsalltag,Soldatentum,Kriegsbild,Preußen,Konfession,Reich",39,"[Trömer, Johann Christian]","Dresden, 1757",Relation vom Kriek in kute Deutscheland die swar schon albe Welt iß fort bien bekannt Doch ats da Teuf iß kahr mit helle Lüge los nach Wahreit proponir ein arme Deutschfransos.,40 Seiten,"Chronikartiger, in Reimen gehaltener Bericht aus der Hand eines sächsischen Autors, der als Deutsch-Franzose mit entsprechend verballhornten Akzent v. a. über die Situation im sächsischen Raum und das überregionale Geschehen berichtet, soweit es mit dem Krieg in Verbindung steht;  Bericht beginnt mit der Besetzung Leipzigs durch preußische Truppen (29. August 1756) und endet zur Zeit der Leipziger Jubilatemesse 1757 (1. Mai 1757); während die Schilderung der Ereignisse in Leipzig sowie im gesamten Sachsen detailliert und sicher ausfällt, scheint die kurze Widergabe des überregionalen Geschehens auf Gerüchten und dem Hörensagen zu beruhen; Schwerpunkte: Verlauf der Besetzung Sachsens und die katastrophalen Folgen für Gesellschaft und Wirtschaft; Verhalten der preußischen Truppen und ihres Königs gegenüber der Bevölkerung, dem Kurfürsten und dessen Familie; Unklarheit über das Verhältnis zwischen Sachsen und Preußen aufgrund der Erklärungen des jeweiligen Herrschers („Neutralität“ versus „Depot“), Friedrichs II. Legitimation seines Einmarsches und dessen Zurückweisung aller gegen ihn erhobenen Vorwürfe; Treue der sächsischen Soldaten; Bemühungen der sächsischen Gemahlin des Dauphins um französische Unterstützung; Panduren; Friedrich als Person und persönlich führender Feldherr; Erwartung russischer und schwedischer Armeen im Reich; Gefechte in Böhmen und um die Erzgebirgspässe; Gerüchte von den Ereignissen um Prag (Frühjahr 1757) und um den Anmarsch französischer Truppen, bei denen es sich aber auch um Soldaten der Reichsexekution handeln könne; Leipziger Messe trotz preußischer Schutzdekrete und Zusicherungen v. a. durch das Ausbleiben auswärtiger Kaufleute geschädigt; Aufforderung, sich Urteilen über die Zeitläufte (aufgrund v. mangelndem Urteilsvermögen: „Schuster, bleib bei deinem Leisten!“) und der Verbreitung von Gerüchten zu enthalten sowie auf Gott zu vertrauen.",
KnF_1757-10,1757,"Flugschrift,Reskript,Neutralität,Handel,Kriegsbild",7,,"ohne Impressum, [1757]","Copia Kaiserlichen Rescripti An den Magistrat zu Nürnberg, d. d. 25. Junii, 1757. Die Unterhandlung wegen der Neutralität mit dem Königlich-Preußischen Herrn Obrist von Mayer, Und Anbietung einer Summa von 80000. Gulden betreffend.",4 Blätter,"Kaiserliches Reskript im Zusammenhang mit dem Obristen von Mayr, der sich mit einem preußischen Freibataillon im Gebiet der Stadt auhielt; Verweis an den Magistrat wegen der Verhandlungen über Neutralität und Zahlung von 80.000 Gulden, seinen Kontakten zu dem „Empörer“ Friedrich II. und wegen der Nichterfüllung der Pflichten gegenüber Kaiser, Reich und dem Fränkischen Kreis; Aufforderung zur Abstellung des getadelten Verhaltens und Ausweisung des preußischen Gesandten; Zurückweisung der vom Magistrat zu dessen Verteidigung vorgebrachten Gründe und Unterstellung, dass der Magistrat von Anfang an „Neutralität anstrebte; Ankündigung einer nur gegen den Magistrat gerichteten Strafe durch den Reichshofrat.",
KnF_1757-11,1757,"Flugschrift,Kriegsschuldfrage,Rechtsfrage,Preußen,Sachsen,Geschichte als Argument,Streitschrift,Replik",11,,"Wien, Prag: Trattner, [1757]","Beantwortung des, unter dem Titul: Ursachen welche Sr. Königl. Majestät in Preußen bewogen sich wider die Absichten des Wienerischen Hofes zu setzen, und deren Ausführung vorzukommen, kund gewordenen Kriegs-Manifests.",12 Seiten,"Österreichische Replik auf  „Exposé des motifs, qui ont obligé Sa Majesté le Roi de Prusse, á prevénir less desseins de la cour de Vienne.“ / deutsch: „Ursachen welche Se. Königl. Maj. in Preussen bewogen, Sich wider die Absichten des Wienerschen Hoffes zu setzen, und deren Ausführung vorzukommen.“ aus dem Oktober 1756; gegen Friedrich als „Friedens-Stöhrer“ sollen „Bundes-Genossen“, „andere Mächte“, v. a. aber die „Reichs-Mit-Stände“ Österreich entsprechend der Reichsverfassung und zum Schutz ihrer eigenen Freiheit unterstützen. Friedrich mißachtet das Völkerrecht, will nicht die Religion schützen, haßt Österreich, weil es das Reich  beschirmt, und ist von Herrschsucht und dem Wunsch nach Vergrößerung Preußens getrieben. Mit der erzwungenen Öffnung des Dresdner Kabinettsarchives habe er nur versucht, seine Intrigen zu verschleiern. Österreich bedrohe Preußen nicht, sondern verteidige sich rechtmäßig. Friedrich verhält sich wortbrüchig, unköniglich und undankbar, da er vergesse, wie sich Maria Theresias Vater für ihn bei seinem Vater eingesetzt habe.",
KnF_1757-12,1757,"Flugschrift,Predigt,Schlacht,Preußen",39,"Burg, Johann Friedrich","Breslau: Meyer, 1757","Das erhabenste Sieges-Lied, auf einer Walstadt, wo Feinde selbst in ihrer Niederlage was Göttliches erkennen müßen: welches nach dem den 6. May 1757. von Seiner Königlichen Majestät in Preußen unter eigener Allerhöchster Anführung, in einem blutigen Haupt-Treffen bey Prag, glorreichest erfochtenen vollständigem Siege, folgenden 15. May, am Bet-Sontage, aus 2 Mosis 15. v. 6. 7. bey dem darüber gefeyerten Danck-Feste, in der Hauptkirche zu S. Elisabeth in Breßlau, der vornehmen und volckreichen Gemeine in den Mund und ans Hertz zu legen gesuchet Johann Friedrich Burg, Königlicher OberConsistorialRath, der Evangelischen Kirchen und Schulen Inspector.",39 Seiten,"Predigt vom 15. Mai 1757 anlässlich des preußischen Sieges bei Prag (6. Mai 1757) die den Sieg als ein „Wunder“ Gottes, als Zeichen seines Wirkens und als „Machtspruch“ feiert; Text der Predigt: 2. Buch Moses, Kapitel 15, Vers 6 und 7; Verherrlichung des Sieges als einen, wie ihn König David von Gott erbat: „Sprich Du in meiner Sache!“ und damit nicht lediglich auf einen einfachen Sieg hoffte; vielmehr sollte dieser in einer Art geschehen, dass auch die Feinde von der „Gerechtigkeit der Sache Davids“ überzeugt werden oder in dem Sieg ein entscheidendes Urteil des obersten Richters sehen und innehalten; nicht in jedem Ausgang einer Schlacht kann man die Absichten Gottes entnehmen, da diese weiterreichend und nicht sofort erkennbar sein können;
der Sieg bei Prag hingegen ist ein Wunder und Machturteil Gottes: der Feind war zahlenmäßig weit überlegen und in einer eigentlich uneinnehmbaren Stellung, Gott schützte den persönlich führenden König vor allen Gefahren des Schlachtfeldes, der Tod Schwerins führte nicht zu Unordnung; Die Feinde Preußens sind wie die Stoppeln und werden wie solche von Gott hinweggefegt; Aufforderung an die Gläubigen, weiterhin für derartige Siege, da diese einen „ehrlichen und dauerhaften Frieden“ bringen, sowie für das Wohl der Soldaten und ihrer Führung zu beten.
",
KnF_1757-13,1757,"Flugschrift,Preußen,Predigt,Schlacht,Kriegsbild",23,"Rusche, Johann Gottlieb","Berlin: Lange, 1758","Das schuldige Dank-Opfer Christlichgesinneter Unterthanen für die allmächtig herrliche Hülfe, so der HErr Zebaoth ihrem siegenden Könige wider seine Feinde in Gnaden verliehen wurde wegen des von Sr. Königl. Majestät am 5ten December 1757. bey Leuthen in Schlesien über die Oesterreichische Armee durch des Allerhöchsten Beistand erfochtenen herrlich grossen und vollkommenen Sieges, aus Psalm 46, v. 8-12. am 3ten Weihnachts-Feyertage, als an dem dazu bestimmten Dank- und Sieges-Feste der Gemeine des HErrn zu Wustrau im Ruppinischen mit innigster Freude des Hertzens öffentlich vorgestellet, und zur Ehre unseres Allmächtiggnädigen Erretters dem Druck übergeben von Johann Gottlieb Rusche, Seelsorger daselbst.",23 Seiten,"Auf ausdrücklichen Befehl Friedrichs II. am 3. Weihnachtsfeiertag (27. Dezember 1757) gehaltenes Dankfest anlässlich des preußischen Sieges bei Leuthen (5. Dezember 1757); der Text ist den preußischen Militärs Friedrich Wilhelm von Dossow und Hans Joachim von Ziethen gewidmet; Predigt über Psalm 46, Vers 8 bis 12 mit vielen Verweisen auf David Psalm 20, Vers 7 bis 9; die Feinde verlassen sich auf ihre Zahl und Waffen, Preußen auf Gott, jene sind „gestürzt“ und Preußen ward „aufgerichtet“; damit sei offensichtlich, wessen Sache „gerecht“ ist und wer mit Gott im Bündnis steht; Aufforderung zur Zuversicht wegen der Hilfe Gottes und Tadel an denen ob der zwischenzeitlichen Erfolge der Feinde Zweifelnden; Untertanen sollen für die dem König erwiesenen Wohltaten und Schutz Gott danken und lobpreisen, in dem sie ihr Leben entsprechend den göttlichen Geboten ausrichten; Friedrich II. strebt in dem Krieg nicht „ungerechte Erweiterung“ seiner Macht, sondern die „Ruhe und Sicherheit seiner rechtmäßigen Untertanen“ und den „Schutz der Kirche Gottes“ an; Hoffnung: aus diesem großen Sie möge ein „vollkommener, ehrlicher und ewig dauernder Friede“ erwachsen; 
Hoffnung auf Frieden und Aufforderung an die Gläubigen für den Schutz des Königs, seiner Brüder  und des gesamten königlichen Hauses, für die gesamte Armee und das Land sowie für die Wohlfahrt der Kirche Gottes und Deutschlands.
",
KnF_1757-14,1757,"Flugschrift,Gedicht,Schlacht,Preußen,Panegyrik",7,,"Berlin, 1757","Ode auf den am 6ten May dieses 1757sten Jahres von Sr. Königl. Majestät in Preussen erfochtenen grossen Sieg, und darauf erfolgten gänzlichen Niederlage der Oestreichischen Armee bey Prag, jenseits der Moldau, von I. H. S. R.",4 Blatt,"Ode auf die Schlacht bei Prag (6. Mai 1757) und ihre Folgen; 22 Strophen, die den preußischen Sieg, als von einer Größe verherrlichen, wie sie in der Geschichte Österreichs nicht zu finden sei; Friedrich II als persönlich führender, erfolgreicher und dennoch mit den Opfern fühlender Feldherr, der vom Kriegsglück sowie „Gott, Freyheit und Religion“ bevorzugt wird; der König streitet für „das Wohl des Reichs“ und verteidigt seine Länder; Maria Theresia hingegen ist abhängig vom Rat anderer (Kaunitz) und Feindin „der preußischen Ruhe“; die Pläne des Wiener Hofes sind von „Eigensinn“ und „Hochmut“ geprägt; als Folge der Schlacht werden die Unterstützer im Reich und die auswärtigen Bündnispartner Österreichs für das Land von geringem Nutzen sein; Maria Theresia sollte Frieden schließen; Österreich wird sich gegenüber den Opfern des Krieges verantw.orten müssen; Trauer um den Grafen Schwerin und andere preußischer Helden (Friedrich Prinz von Holstein-Beck = „junger Zweig von Holsteins Stamme“); Hoffnung auf einen Frieden noch 1757.",
KnF_1757-15,1757,"Flugschrift,Patriotismus,Staatsschrift,Rechtsfrage,Kriegsschuldfrage",17,,"ohne Impressum, 1757",Patriotisches Wetterglas.,18 Seiten,"Auseinandersetzung mit den preußischen Flugschriften und der Persönlichkeit Friedrichs II. aus der Sicht eines „Patrioten“; Zurückweisung der in den preußischen Schriften angeführten Argumente für das Verhalten gegenüber dem Wiener Hof und den Einmarsch in Sachsen; die Texte widersprechen dem unter Fürsten üblichen Gesetzen des Anstandes; denen der Natur sowie der Vernunft und sollen gegenüber dem Publikum die wahren Ursachen und Absichten verschleiern; deshalb greift man in diesen Texten zu Emotionen, Unterstellungen,  Verdrehungen der Wahrheit und offensichtlichen Lügen, „Betrügen, Trotz, Gewalt heißen jetzt Klugheit, Großmut, Stärke“; verantwortlich für das gegenwärtige Geschehen sind Friedrich II. und dessen Ruhmsucht, er leidet an der „Helden-Seuche“, sein Streben ist sowohl für die angegriffenen als auch für die eigenen Länder schädlich; Verweis auf frühere, persönlich vom König verfassten Schriften (Antimachiavell, Memoires de Brandebourgh) und den dort postulierten Werten und dessen gegenwärtigem Verhalten; patriotisches Wetterglas mit zehnstufiger Skala gegen die preußischen Flugschriften und die durch diese beim Leser hervorgerufene Unsicherheit; laut dieser Skala ist Friedrich ein „Rasender“.",
KnF_1757-16,1757,"Flugschrift,Rechtsfrage,Niederlande,Österreich,Preußen",11,,"Amsterdam, 1757","t'Zamenspraak, Tusschen Zyn Pausselyke Heiligheid, En Haare Majesteit , de Koninginne Van Hongaryen , En dan ook Zyne Majesteit , de Koning Van Pruyssen. Als meede Een Briev Uyt Roomen. Beyde uyt het Hoogduytsch vertaald.",12 Seiten,"Dreiteilige protestantische Satire bestehend aus einem Gespräch zwischen der Königin von Ungarn, Papst und preußischen König, einem päpstlichen Brief (1. Mai 1757) sowie Klagen und Meinungen einiger Fürsten der am Krieg beteiligten Mächte, deren Soldaten und Gläubigen; der Text endet mit Loblied auf Friedrich II. und  einer ironischen Lobpreisung Maria Theresias; Spott auf die katholische Religion, deren Heiligengläubigkeit und den Klerus; trotz aller Fürbitten des Papstes und der Geistlichkeit ist Friedrich II. siegreich und die eigene Lage im Jahr 1757 katastrophal; laut Friedrich II. kann nur Jesus Christus helfen; laut seinem Schreiben möchte der Papst die „heilige Militie“ mobilisieren; dazu soll die Geistlichkeit Regimenter bilden: die Angehörigen der einzelnen Orden werden zu Husaren, Grenadieren und Musketieren, die Barmherzigen Brüder übernehmen die Artillerie; der höheren Geistlichkeit wird zu Offizieren; für die Moral der Truppe sorgen Nonnen; um die Kosten aufbringen zu können, soll ein Teil des Fegefeuers verkauft werden;
bei Teil 1 und 3 jeweils in Kontrafraktur zum danebenstehenden Text das Ave Maria.
",
KnF_1757-17,1757,"Flugschrift,Deutschland,Reich,Reichsverfassung,Brief,Großbritannien,Frankreich,Preußen,Österreich,Russland,Vertrag,Bündnissystem,Rechtsfrage,Geschichte als Argument",35,,"Köln, 1757","Uebersetzung eines Schreibens aus Paris, den gegenwärtigen Zustand in Teutschland betreffend, mit Anmerckungen eines Teutschen.",36 Seiten,"Übersetzung aus dem Französischen eines auf den 15. Mai 1757 datierten, im Observateur hollandais erschienen Schreibens aus Paris (25. Brief), ergänzt mit umfangreichen Anmerkungen juristischer, reichsverfassungsrechtlicher und -geschichtlicher Natur sowie mit Einschätzungen der gegenwärtigen Konflikte im Reich; Verteidigung die Politik Frankreichs, für das die Erfüllung vertraglicher Verpflichtung und das daraus resultierende gegenseitige Vertrauen oberste Prämisse seiner Außenpolitik sind, auch wenn machtpolitische Interessen ein anderes Verhalten nahelegen; der für Frankreich zentrale Konflikt besteht in der Auseinandersetzung mit Großbritannien um den Handel, für die es alle Ressourcen zur Stärkung seiner Marine verwenden sollte; Frankreich als Garantiemacht des Westfälischen Friedens möchte keine Auseinandersetzungen im Heiligen Römischen Reich, die einen Truppeneinsatz erfordern; Großbritannien hingegen strebt diesen Krieg an und wird so zu dessen eigentlichen Urheber, indem es „Mißhelligkeiten“ zwischen den Fürsten stiftet; der Einmarsch Friedrichs II. in Sachsen und später in Böhmen bedroht die betroffenen Reichsstände, das Gleichgewicht im Reich und verstößt gegen die Reichsgesetze sowie die entsprechenden Bestimmungen im Westfälischen Frieden; Reichsexekution gegen Friedrich II. (17. Januar 1757) und die Bitte „einiger“ Reichsstände um Hilfe bestätigen den Friedensbruch; Zurückweisung der Argumente preußischer Publikationen zur Rechtfertigung der Politik des Königs: Souveräne sind an das Staatsrecht und Friedrich II. als Kurfürst von Brandenburg zudem an das Reichsrecht gebunden; das Naturrecht hebt diese Verpflichtungen nicht auf, es erlaubt auch keine „Verteidigung“ auf Basis vermuteter feindlicher Absichten. ",
KnF_1757-18,1757,"Flugschrift,Geschichte als Argument,Preußen,Rechtsfrage,Österreich,Streitschrift",11,"[Carrach, Johann Philipp von]","ohne Impressum, [1757]","Kurzer doch Gründlicher Beweis, daß das Königreich Böhmen Sr. Königl. Majest. in Preussen zustehe.",11 Seiten,"Ausführungen und kurzer Stammbaum der Nachkommen Kaiser Albrechts II. und dessen Gemahlin Elisabeth von Luxemburg die den Erbanspruch der Kurfürsten von Brandenburg auf das Königreich Böhmen beweisen sollen; laut den böhmischen, in der Goldenen Bulle bestätigten Erbschaftsregeln Böhmens sind Töchter im Fall des Aussterbens im Mannesstamm erbberechtigt; auch hier gilt Primogenitur und damit der Erbanspruch Annas und nicht der ihrer jüngeren Schwester Elisabeth; Margarete, eine der beiden Töchter Annas heiratet den Brandenburger Kurfürsten Joachim Cicero; die Tochter Vadislavs (II.) und Enkelin Elisabeths vermählt sich mit dem Erzherzog Ferdinand (Kaiser Ferdinand I.); die Wahl Vladislavs 1471 zum König Böhmens übergeht den Anspruch Margaretes, der damit aber nicht erlischt, vielmehr geht er auf ihre Nachkommen über.",
KnF_1757-19,1757,"Flugschrift,Preußen,Streitschrift,Bündnissystem,Rechtsfrage,Geschichte als Argument",23,,"ohne Impressum, 1757","Schreiben von dem gegenwärtigen Kriege, welches der Türkische Mufti an den Groskanzler der Pforte, Said, abgelassen hat.",24 Seiten,"Schreiben eines vorgeblich türkischen Muftis an den Großkanzler des Osmanischen Reiches mit dem er diesen von der „Falschheit“ der gegen Friedrich II. erhobenen Vorwürfe überzeugen und über die „verderblichen Anschläge“ des Wiener Hofes informieren möchte; Österreichs Streben nach der „Oberherrschaft“ im Reich sowie der Wiedergewinnung Schlesiens sind die eigentlichen Ursachen für den Krieg; Intrigen und Unterstellungen um bei  Rußland und anderen „auswärtigen Mächten“ Feindschaft gegen Preußen zu erreichen; Petersburger Vertrag (1746) ist als gegen Preußen gerichtete Offensivallianz anzusehen; Friedrichs II. Politik ist auf den Erhalt des Friedens ausgerichtet; die Unterstützung der feindlichen Pläne und eigene Eroberungsabsichten machen den Kurfürst von Sachsen zum heimlichen, gefährlichen Feind; er folgt „untreuen Minister“; verderbliche Rolle des Minister Brühls; Österreich erklärt den Preußischen Einmarsch in Sachsen zum Bruch des Landfriedens um bei den Reichsständen und den Verbündeten Unterstützung für den vom Erzhaus angestrebten Krieg zu erhalten, nicht um Reich und seine Stände zu schützen; Reichshofrat agiert im Interesse des Wiener Hofes und auf dessen Anweisungen hin, er verstößt gegen Reichsgesetze; Aufgaben der durch Preußen publizierten Schriften: 1. Publikum von der beispiellosen Ungerechtigkeit der österreichischen Pläne überzeugen, 2.  Rechtmäßigkeit, Vertragstreue und Friedfertigkeit Preußens sowie Legitimation der militärischen Handlungen als Notwehr aufzeigen und 3.) Reichsstände und „ganze Welt“ von der allen durch den Wiener Hof drohenden Gefahr zu informieren; Reichsstände sollen Preußen im eigenen Interesse unterstützen; Gefahr für die protestantischen Reichsglieder wenn Preußen als Schutzmacht entfällt.",
KnF_1757-20,1757,"Flugschrift,Sachsen,Gedicht,Kriegsbild,Satire",31,,"ohne Impressum, 1757",Parodie über das bedrängte Sachsen.,32 Seiten,"Mit parodierenden Anmerkungen und Einlassungen eines preußenfreundlichen Autors versehene poetische Schilderung der Situation Sachsens vor dem Einmarsch Preußens, der Besetzung und v. a. der Gefechte mit der sächsischen Armee sowie deren Kapitulation; Legitimation des Einmarsches als im Einklang mit dem Natur- und Völkerrecht und mit den feindlichen Absichten des sächsischen Hofes; Vergleich der Persönlichkeit des sächsischen Kurfürsten mit der Friedrichs II.; Verteidigung der zwangsweisen Eingliederung der sächsischen Soldaten in die preußische Armee.",
KnF_1757-21,1757,"Flugschrift,Predigt,Preußen,Schlacht,Panegyrik",7,"Fränkel, David Hirschel","Berlin, 1757","Dankpredigt Ueber den großen und herrlichen Sieg, Welchen Se. Majestät unser allerweiseste  König Den 5. Decembr. 1757. Ueber die gesammte und weit überlegene Macht der Oesterreichischen Kriegesvölker bey Leuthen in Schlesien erfochten. Gehalten am Sabbath, den 10ten desselben Monaths in der Synagoge der hiesigen Judengemeine von David Hirschel Fränckel Ober-Land-Rabiner.",8 Seiten,"Unvollständiger Text der Dankpredigt der Berliner jüdischen Gemeinde anlässlich des preußischen Sieges bei Leuthen (5. Dezember 1757); vorhandener Text bezieht sich auf den biblischen Psalm 22; Dank für die Errettung aus großer, von den Feinden des Königs ausgehender Gefahr; der Sieg ist ein Wunder des Herrn, mit diesem zeigt er seine Allmacht und durch die offensichtliche Unterstützung Friedrichs die Gerechtigkeit von dessen Handlungen; die Feinde sind zwar ebenfalls Werk Gottes, jedoch von „falschen Leidenschaf.ten“ bewegt; richtige Form der Freudensbezeugungen durch die Gläubigen: Dank für die Erhörung der Gebete, für Gottes Gerechtigkeit und Gelübde zugunsten der Hinterbliebenen der gefallenen Soldaten.",
KnF_1757-22,1757,"Flugschrift,Sachsen,Brief,Deutschland,Reich,Konfession,Rechtsfrage,Kriegsschuldfrage",31,[Buchholtz?],"ohne Impressum, 1757",Großväterliche Erinnerungen über das Schreiben eines Vaters an seinen Sohn den gegenwärtigen Zustand in Sachsen betreffend.,32 Seiten,"Auseinandersetzung mit dem „Schreiben eines Vaters an seinen Sohn, den gegenwärtigen Zustand in Sachsen betreffend“; dagegen macht der Autor der vorliegenden Schrift geltend: Der Wiener Hof bedroht die Freiheit der Reichsstände und der Religion, strebt nach Herrschaft über das Reich und will es zur Durchsetzung habsburgischer Interessen (Wiedergewinnung Schlesiens) benutzen; „eigentliche Ursache“ des Krieges sind die mittels der Archivöffnung bewiesenen Pläne Brühls zur Schwächung Preußens; Preußen behandelt ungeachtet seines Rechtes auf Selbsthilfe das besetzte Sachsen weit besser, als dieses Kurfürstentum das auf Grund der Brühlschen Machenschaften verdient hätte; Grundlage der Staatskunst ist die „ordentliche Unterhaltung des Kriegswesens und der Rentcammer“.",
